Approved symbol	Approved name	Previous symbols	Synonyms	Chromosome	Accession numbers	RefSeq IDs	Ensembl gene ID	NCBI Gene ID
IRX1P1	iroquois homeobox 1 pseudogene 1			13q12.12		NG_009487	ENSG00000231417	646390
IRX2	iroquois homeobox 2			5p15.33	AF319967		ENSG00000170561	153572
IRX3	iroquois homeobox 3		IRX-1	16q12.2	U90308		ENSG00000177508	79191
IRX4	iroquois homeobox 4			5p15.33	AF124733	NM_016358	ENSG00000113430	50805
IRX4P1	iroquois homeobox 4 pseudogene 1			18p11.22				
IRX5	iroquois homeobox 5		IRX-2a	16q12.2	U90309		ENSG00000176842	10265
IRX6	iroquois homeobox 6	IRX7	IRX-3	16q12.2	AF319966	NM_024335		79190
ISCA1	iron-sulfur cluster assembly 1	HBLD2	"MGC4276, ISA1, hIscA"	9q21.33	AF038186	NM_030940	ENSG00000135070	81689
ISCA1P1	iron-sulfur cluster assembly 1 pseudogene 1	ISCA1L		5q12.1			ENSG00000217416	389293
ISCA1P2	iron-sulfur cluster assembly 1 pseudogene 2			1q42.13		NG_022828	ENSG00000229840	100288517
ISCA1P3	iron-sulfur cluster assembly 1 pseudogene 3			17q22			ENSG00000261965	100131092
ISCA1P4	iron-sulfur cluster assembly 1 pseudogene 4			15q15.1			ENSG00000259405	100128012
ISCA1P5	iron-sulfur cluster assembly 1 pseudogene 5			19p13.11				100288250
ISCA1P6	iron-sulfur cluster assembly 1 pseudogene 6			2q14.3			ENSG00000227653	100130549
ISCA2	iron-sulfur cluster assembly 2	HBLD1	ISA2	14q24.3		NM_194279	ENSG00000165898	122961
ISCA2P1	iron-sulfur cluster assembly 2 pseudogene 1			22q12.1			ENSG00000226912	100287193
ISCU	iron-sulfur cluster assembly enzyme	NIFUN	"ISU2, hnifU, IscU"	12q23.3	U47101	NM_014301	ENSG00000136003	23479
ISCUP1	iron-sulfur cluster assembly enzyme pseudogene 1			1q24.2		NG_022742	ENSG00000238051	100462833
ISG15	ISG15 ubiquitin-like modifier	G1P2	"IFI15, UCRP"	1p36.33	BC009507	NM_005101	ENSG00000187608	9636
ISG20	interferon stimulated exonuclease gene 20		"HEM45, CD25"	15q26.1	X89773	NM_002201	ENSG00000172183	3669
ISG20L2	interferon stimulated exonuclease gene 20 like 2		FLJ12671	1q23.1	AK095697	NM_030980	ENSG00000143319	81875
ISL1	ISL LIM homeobox 1		"Isl-1, ISLET1"	5q11.1	BC031213	NM_002202	ENSG00000016082	3670
ISL2	ISL LIM homeobox 2		FLJ10160	15q24.3	AK001022		ENSG00000159556	64843
ISLR	immunoglobulin superfamily containing leucine rich repeat		HsT17563	15q24.1	AB003184	NM_005545	ENSG00000129009	3671
ISLR2	immunoglobulin superfamily containing leucine rich repeat 2		KIAA1465	15q24.1		NM_020851	ENSG00000167178	57611
ISM1	isthmin 1	C20orf82	bA149I18.1	20p12.1	AL133463		ENSG00000101230	140862
ISM1-AS1	ISM1 antisense RNA 1			20p12.1	"BC038745, BX092222, DB453950"	NR_040043	ENSG00000226263	100505536
ISM2	isthmin 2	THSD3	"FLJ32147, TAIL1"	14q24.3	AK056709	NM_182509	ENSG00000100593	145501
ISOC1	isochorismatase domain containing 1		CGI-111	5q23.3	AF151869	NM_016048	ENSG00000066583	51015
ISOC2	isochorismatase domain containing 2		FLJ23469	19q13.42	AK027122	NM_024710	ENSG00000063241	79763
ISPD	isoprenoid synthase domain containing		"hCG_1745121, IspD, Nip"	7p21.2	AK124805	NM_001101426	ENSG00000214960	729920
ISPD-AS1	ISPD antisense RNA 1			7p21.2			ENSG00000229688	100506025
IST1	"IST1, ESCRT-III associated factor"	KIAA0174		16q22.2	BC004359	NM_014761	ENSG00000182149	9798
ISX	intestine specific homeobox		RAXLX	22q12.3	AK025181	NM_001008494	ENSG00000175329	91464
ISX-AS1	ISX antisense RNA 1			22q12.3			ENSG00000227895	101926957
ISY1	ISY1 splicing factor homolog		"KIAA1160, fSAP33"	3q21.3		NM_020701	ENSG00000240682	57461
ISY1-RAB43	ISY1-RAB43 readthrough			3q21.3			ENSG00000261796	100534599
ISYNA1	inositol-3-phosphate synthase 1		"Ino1, INOS, IPS"	19p13.11		NM_016368	ENSG00000105655	51477
ITCH	itchy E3 ubiquitin protein ligase		AIP4	20q11.22	AF095745		ENSG00000078747	83737
ITCH-AS1	ITCH antisense RNA 1			20q11.22			ENSG00000236388	
ITCH-IT1	ITCH intronic transcript 1			20q11.22			ENSG00000231795	
ITFG1	integrin alpha FG-GAP repeat containing 1		"CDA08, TIP, LNKN-1"	16q12.1	AF503339	NM_030790	ENSG00000129636	81533
ITFG1-AS1	ITFG1 antisense RNA 1			16q12.1	"BE551587, BI462694, AW303619"	NR_110903	ENSG00000260281	101927102
ITFG2	integrin alpha FG-GAP repeat containing 2	FGGAP1	MDS028	12p13.33	AF220048	NM_018463	ENSG00000111203	55846
ITFG2-AS1	ITFG2 antisense RNA 1			12p13.33		NR_146317	ENSG00000258325	283440
ITGA1	integrin subunit alpha 1		"VLA1, CD49a"	5q11.2	X68742	NM_181501	ENSG00000213949	3672
ITGA2	integrin subunit alpha 2	CD49B	CD49b	5q11.2		NM_002203	ENSG00000164171	3673
ITGA2B	integrin subunit alpha 2b	GP2B	"CD41B, CD41, PPP1R93"	17q21.31			ENSG00000005961	3674
ITGA3	integrin subunit alpha 3	MSK18	"CD49c, VLA3a, VCA-2, GAP-B3"	17q21.33	M59911	NM_005501	ENSG00000005884	3675
ITGA4	integrin subunit alpha 4	CD49D	CD49d	2q31.3			ENSG00000115232	3676
ITGA5	integrin subunit alpha 5	FNRA	CD49e	12q13.13			ENSG00000161638	3678
ITGA6	integrin subunit alpha 6		CD49f	2q31.1			ENSG00000091409	
ITGA6-AS1	ITGA6 antisense RNA 1		AC078883.3	2q31.1			ENSG00000232788	
ITGA7	integrin subunit alpha 7			12q13.2		NM_002206	ENSG00000135424	3679
ITGA8	integrin subunit alpha 8			10p13	L36531	NM_003638	ENSG00000077943	8516
ITGA9	integrin subunit alpha 9		"RLC, ITGA4L, ALPHA-RLC"	3p22.2	L24158	NM_002207	ENSG00000144668	3680
ITGA9-AS1	ITGA9 antisense RNA 1			3p22.2	BC040563		ENSG00000235257	101928153
ITGA10	integrin subunit alpha 10			1q21.1	AF074015	NM_003637	ENSG00000143127	8515
ITGA11	integrin subunit alpha 11		HsT18964	15q23	AF109681	NM_012211	ENSG00000137809	22801
ITGAD	integrin subunit alpha D		"CD11d, ADB2"	16p11.2	U40274	NM_005353	ENSG00000156886	3681
ITGAE	integrin subunit alpha E		"CD103, HUMINAE"	17p13.2	L25851	NM_002208	ENSG00000083457	3682
ITGAL	integrin subunit alpha L	CD11A	LFA-1	16p11.2			ENSG00000005844	3683
ITGAM	integrin subunit alpha M	"CR3A, CD11B"	"MAC-1, CD11b"	16p11.2	J03925	NM_000632		3684
ITGAV	integrin subunit alpha V	"VNRA, MSK8, VTNR"	CD51	2q32.1		NM_002210	ENSG00000138448	3685
ITGAX	integrin subunit alpha X	CD11C	CD11c	16p11.2	BC038237	NM_000887	ENSG00000140678	3687
ITGB1	integrin subunit beta 1	"FNRB, MSK12, MDF2"	"CD29, GPIIA"	10p11.22	BC020057	NM_002211	ENSG00000150093	3688
ITGB1-DT	ITGB1 divergent transcript			10p11.22			ENSG00000229656	101929475
ITGB1BP1	integrin subunit beta 1 binding protein 1		"ICAP-1A, ICAP-1B, ICAP1, ICAP1A, ICAP1B, ICAP-1alpha"	2p25.1	AF012023	"NM_004763, NM_022334"	ENSG00000119185	9270
ITGB1BP2	integrin subunit beta 1 binding protein 2		CHORDC3	Xq13.1	AF140690	NM_012278	ENSG00000147166	26548
ITGB1P1	integrin subunit beta 1 pseudogene 1	FNRBL	ITGB1L	19p13.12		NG_024150		100422691
ITGB2	integrin subunit beta 2	"CD18, MFI7"	"LFA-1, MAC-1"	21q22.3	AK222505	NM_000211	ENSG00000160255	3689
ITGB2-AS1	ITGB2 antisense RNA 1			21q22.3	"BC040064, BC051807"	NR_038311	ENSG00000227039	100505746
ITGB3	integrin subunit beta 3	GP3A	"CD61, GPIIIa"	17q21.32		NM_000212	ENSG00000259207	3690
ITGB3BP	integrin subunit beta 3 binding protein		"NRIF3, HSU37139, TAP20, CENPR"	1p31.3	U37139	NM_014288	ENSG00000142856	23421
ITGB4	integrin subunit beta 4		CD104	17q25.1			ENSG00000132470	3691
ITGB5	integrin subunit beta 5			3q21.2	J05633	NM_002213	ENSG00000082781	3693
ITGB5-AS1	ITGB5 antisense RNA 1			3q21.2			ENSG00000244286	
ITGB6	integrin subunit beta 6			2q24.2		NM_000888	ENSG00000115221	3694
ITGB7	integrin subunit beta 7			12q13.13			ENSG00000139626	3695
ITGB8	integrin subunit beta 8			7p21.1		NM_002214	ENSG00000105855	3696
ITGBL1	integrin subunit beta like 1		"TIED, OSCP"	13q33.1	AF072752	NM_004791	ENSG00000198542	9358
ITIH1	inter-alpha-trypsin inhibitor heavy chain 1		"H1P, IATIH, ITIH"	3p21.1		NM_002215	ENSG00000055957	3697
ITIH2	inter-alpha-trypsin inhibitor heavy chain 2		H2P	10p14	X07173	NM_002216	ENSG00000151655	3698
ITIH3	inter-alpha-trypsin inhibitor heavy chain 3		H3P	3p21.1		NM_002217	ENSG00000162267	3699
ITIH4	inter-alpha-trypsin inhibitor heavy chain family member 4	ITIHL1	"IHRP, H4P"	3p21.1	D38535	NM_002218	ENSG00000055955	3700
ITIH4-AS1	ITIH4 antisense RNA 1			3p21.1			ENSG00000239799	
ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5		MGC10848	10p14		NM_030569	ENSG00000123243	80760
ITIH6	inter-alpha-trypsin inhibitor heavy chain family member 6	ITIH5L	UNQ6369	Xp11.22	AY358170	NM_198510	ENSG00000102313	347365
ITK	IL2 inducible T cell kinase		"EMT, PSCTK2, LYK"	5q33.3	D13720		ENSG00000113263	3702
ITLN1	intelectin 1		"ITLN, FLJ20022, LFR, HL-1, hIntL"	1q23.3	AB036706	NM_017625	ENSG00000179914	55600
ITLN2	intelectin 2		HL-2	1q23.3	AY065973	NM_080878	ENSG00000158764	142683
ITM2A	integral membrane protein 2A		"BRICD2A, E25A"	Xq21.1	BC034485	NM_004867	ENSG00000078596	9452
ITM2B	integral membrane protein 2B		"BRI, E25B, E3-16, BRICD2B, BRI2"	13q14.2	AF092128	NM_021999	ENSG00000136156	9445
ITM2BP1	integral membrane protein 2B pseudogene 1	ITM2BP	HsT33912	17q11.2		NG_026163	ENSG00000266853	100420308
ITM2C	integral membrane protein 2C		"BRI3, E25, hRPC.1050_D_4, ITM3, BRICD2C"	2q37.1	AF038953	NM_030926	ENSG00000135916	81618
ITPA	inosine triphosphatase	C20orf37	"HLC14-06-P, dJ794I6.3"	20p13	AF026816	NM_033453	ENSG00000125877	3704
ITPK1	inositol-tetrakisphosphate 1-kinase			14q32.12	U51336	NM_014216	ENSG00000100605	3705
ITPK1-AS1	ITPK1 antisense RNA 1	"C14orf85, NCRNA00203, ITPK1AS, ITPK1-AS"		14q32.12	AK024887	NR_002808	ENSG00000258730	319085
ITPKA	inositol-trisphosphate 3-kinase A		"IP3KA, IP3-3KA"	15q15.1	X54938	NM_002220	ENSG00000137825	3706
ITPKB	inositol-trisphosphate 3-kinase B		"IP3KB, IP3-3KB"	1q42.12	AJ242780	NM_002221	ENSG00000143772	3707
ITPKB-AS1	ITPKB antisense RNA 1			1q42.12			ENSG00000228548	
ITPKB-IT1	ITPKB intronic transcript 1			1q42.12			ENSG00000228382	100506443
ITPKC	inositol-trisphosphate 3-kinase C		"IP3KC, IP3-3KC"	19q13.2	Y11999	NM_025194	ENSG00000086544	80271
ITPR1	"inositol 1,4,5-trisphosphate receptor type 1"	"SCA15, SCA16, SCA29"	"Insp3r1, IP3R1, ACV, PPP1R94"	3p26.1	D26070	NM_002222	ENSG00000150995	3708
ITPR1-DT	ITPR1 divergent transcript	ITPR1-AS1		3p26.1	BU629368	NR_108075	ENSG00000231249	100996539
ITPR2	"inositol 1,4,5-trisphosphate receptor type 2"		"IP3R2, CFAP48"	12p11.23	D26350	NM_002223	ENSG00000123104	3709
ITPR3	"inositol 1,4,5-trisphosphate receptor type 3"		IP3R3	6p21.31	D26351	NM_002224	ENSG00000096433	3710
ITPRID1	ITPR interacting domain containing 1	CCDC129	FLJ38344	7p14.3	AK128026	NM_194300	ENSG00000180347	223075
ITPRID2	ITPR interacting domain containing 2	SSFA2	"CS-1, SPAG13, KRAP, KIAA1927"	2q31.3	M61199	NM_006751	ENSG00000138434	6744
ITPRIP	"inositol 1,4,5-trisphosphate receptor interacting protein"	KIAA1754	"bA127L20.2, DANGER"	10q25.1	AB051541	NM_033397	ENSG00000148841	85450
ITPRIP-AS1	ITPRIP antisense RNA 1			10q25.1		NR_120622	ENSG00000228261	101927472
ITPRIPL1	ITPRIP like 1	KIAA1754L		2q11.2		NM_178495	ENSG00000198885	150771
ITPRIPL2	ITPRIP like 2		"FLJ22994, MGC126798, MGC126800, LOC162073"	16p12.3		NM_001034841	ENSG00000205730	162073
ITSN1	intersectin 1	"SH3D1A, ITSN"	"SH3P17, MGC134948, MGC134949"	21q22.11	AF064244	NM_003024	ENSG00000205726	6453
ITSN2	intersectin 2	SH3D1B	"KIAA1256, SWAP, SH3P18, SWA, PRO2015"	2p23.3	AB033082	NM_006277	ENSG00000198399	50618
IV	"inversus situs, viscerum"		SIV	14q32				
IVD	isovaleryl-CoA dehydrogenase		ACAD2	15q15.1	AF038317		ENSG00000128928	3712
IVL	involucrin			1q21.3	BC046391	NM_005547	ENSG00000163207	3713
IVNS1ABP	influenza virus NS1A binding protein		"NS1-BP, HSPC068, NS-1, KIAA0850, ND1, KLHL39, ARA3"	1q25.3	AB020657	NM_006469	ENSG00000116679	10625
IWS1	"IWS1, SUPT6H interacting protein"		"DKFZp761G0123, FLJ10006, FLJ14655, FLJ32319"	2q14.3	AK000868	NM_017969	ENSG00000163166	55677
IYD	iodotyrosine deiodinase	C6orf71	"dJ422F24.1, DEHAL1"	6q25.1	AK129950	NM_203395	ENSG00000009765	389434
IZUMO1	izumo sperm-egg fusion 1		"IZUMO, MGC34799, OBF"	19q13.33	BC034769	NM_182575	ENSG00000182264	284359
IZUMO1R	"IZUMO1 receptor, JUNO"	FOLR4	"Folbp3, JUNO"	11q21		NM_001080486	ENSG00000183560	390243
IZUMO2	IZUMO family member 2	C19orf41	"MGC33947, SCRL"	19q13.33	AY358196	NM_152358	ENSG00000161652	126123
IZUMO3	IZUMO family member 3	C9orf134	bA20A20.1	9p21.3		NM_001271706	ENSG00000205442	100129669
IZUMO4	IZUMO family member 4	C19orf36		19p13.3	BC014609	NM_052878	ENSG00000099840	113177
JADE1	jade family PHD finger 1	PHF17	JADE-1	4q28.2		NM_024900	ENSG00000077684	79960
JADE2	jade family PHD finger 2	PHF15	"KIAA0239, JADE-2"	5q31.1	AJ251833	NM_015288	ENSG00000043143	23338
JADE3	jade family PHD finger 3	PHF16	"KIAA0215, JADE-3"	Xp11.3	AF127774	NM_014735	ENSG00000102221	9767
JADRR	JADE1 adjacent regulatory RNA	LINC00915	lncRNA-JADE	4q28.2	KC469579		ENSG00000280711	101669763
JAG1	jagged 1	"AGS, JAGL1"	"AHD, AWS, HJ1, CD339"	20p12.2	U61276	NM_000214	ENSG00000101384	182
JAG2	jagged 2			14q32.33	AF020201	NM_002226	ENSG00000184916	3714
JAGN1	jagunal homolog 1		"GL009, FLJ14602"	3p25.3	AK074760	NM_032492	ENSG00000171135	84522
JAK1	Janus kinase 1	JAK1B	"JAK1A, JTK3"	1p31.3	M64174	NM_002227	ENSG00000162434	3716
JAK2	Janus kinase 2		JTK10	9p24.1			ENSG00000096968	3717
JAK3	Janus kinase 3		"L-JAK, JAKL, LJAK, JAK3_HUMAN, JAK-3"	19p13.11	U31601	NM_000215	ENSG00000105639	3718
JAKMIP1	janus kinase and microtubule interacting protein 1		"MARLIN1, JAMIP1, Gababrbp, FLJ31564"	4p16.1	AK056126	NM_144720	ENSG00000152969	152789
JAKMIP2	janus kinase and microtubule interacting protein 2		"JAMIP2, KIAA0555"	5q32	AB011127	NM_014790	ENSG00000176049	9832
JAKMIP2-AS1	JAKMIP2 antisense RNA 1			5q32	AK027578	NR_038902		153469
JAKMIP3	Janus kinase and microtubule interacting protein 3	"C10orf39, C10orf14"	"FLJ37857, NECC2, KIAA4091, bA140A10.5"	10q26.3	AL832756	NM_194303	ENSG00000188385	282973
JAM2	junctional adhesion molecule 2	C21orf43	"VE-JAM, JAM-B, JAMB, CD322"	21q21.3	AF255910		ENSG00000154721	58494
JAM3	junctional adhesion molecule 3		"JAM-C, JAMC"	11q25	AF356518	NM_032801	ENSG00000166086	83700
JAML	junction adhesion molecule like	AMICA1	"Gm638, AMICA"	11q23.3	"AY138965, AY358362"	NM_153206	ENSG00000160593	120425
JARID2	jumonji and AT-rich interaction domain containing 2	JMJ		6p22.3	U57592	NM_004973	ENSG00000008083	3720
JARID2-AS1	JARID2 antisense RNA 1			6p22.3	"AW340306, AW665239"		ENSG00000235488	100506681
JAZF1	JAZF zinc finger 1		"TIP27, DKFZp761K2222, ZNF802"	7p15.2-p15.1	BC047229	NM_175061	ENSG00000153814	221895
JAZF1-AS1	JAZF1 antisense RNA 1			7p15.1		NR_034097	ENSG00000234336	100128081
JBS	Jacobsen syndrome			11q24.1				
JCAD	junctional cadherin 5 associated	KIAA1462		10p11.23	AB040895	NM_020848	ENSG00000165757	57608
JCHAIN	joining chain of multimeric IgA and IgM	IGJ	"IGCJ, JCH"	4q13.3	M12759	NM_144646	ENSG00000132465	3512
JCHAINP1	joining chain of multimeric IgA and IgM pseudogene 1	IGJP1		8q21.2	S74134	NG_009863	ENSG00000253655	3513
JDP2	Jun dimerization protein 2	JUNDM2		14q24.3	AF111167	NM_130469	ENSG00000140044	122953
JHY	junctional cadherin complex regulator	C11orf63	"FLJ23554, Jhy"	11q24.1	BC068507	NM_024806	ENSG00000109944	79864
JKAMP	JNK1/MAPK8 associated membrane protein	C14orf100	"HSPC213, JAMP, HSPC327, CDA06"	14q23.1	AF212245	NM_001098625	ENSG00000050130	51528
JKAMPP1	JNK1/MAPK8-associated membrane protein pseudogene 1			9p23		NG_006081	ENSG00000231491	100049717
JMJD1C	jumonji domain containing 1C	TRIP8	"DKFZp761F0118, KIAA1380, FLJ14374, KDM3C"	10q21.3	L40411	NM_004241	ENSG00000171988	221037
JMJD1C-AS1	JMJD1C antisense RNA 1			10q21.3	AK314171	NR_027182		84989
JMJD4	jumonji domain containing 4		FLJ12517	1q42.13	AK022579	NM_023007	ENSG00000081692	65094
JMJD6	"jumonji domain containing 6, arginine demethylase and lysine hydroxylase"	PTDSR	"PTDSR1, KIAA0585"	17q25.1	AB011157	NM_015167	ENSG00000070495	23210
JMJD7	jumonji domain containing 7			15q15.1		NM_001114632	ENSG00000243789	100137047
JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough			15q15.1			ENSG00000168970	8681
JMJD8	jumonji domain containing 8	C16orf20		16p13.3		NM_001005920		339123
JMY	"junction mediating and regulatory protein, p53 cofactor"		"FLJ37870, WHAMM2"	5q14.1	AK095189	NM_152405	ENSG00000152409	133746
JOSD1	Josephin domain containing 1		KIAA0063	22q13.1		NM_014876	ENSG00000100221	9929
JOSD2	Josephin domain containing 2		SBBI54	19q13.33	AF247787	NM_138334		126119
JPD	juvenile periodontitis			4				
JPH1	junctophilin 1		JP-1	8q21.11	AB042634		ENSG00000104369	56704
JPH2	junctophilin 2		JP-2	20q13.12	AL034419		ENSG00000149596	57158
JPH3	junctophilin 3	TNRC22	"JP-3, CAGL237, HDL2, JP3"	16q24.2	AB042636		ENSG00000154118	57338
JPH4	junctophilin 4	JPHL1	KIAA1831	14q11.2	AB058734	NM_032452	ENSG00000092051	84502
JPT1	Jupiter microtubule associated homolog 1	HN1	"ARM2, HN1A"	17q25.1	AF086910	NM_001002032	ENSG00000189159	51155
JPT2	Jupiter microtubule associated homolog 2	"C16orf34, HN1L"	"FLJ13092, L11, KIAA1426"	16p13.3	AK023154	NM_144570	ENSG00000206053	90861
JPX	"JPX transcript, XIST activator"	NCRNA00183	"ENOX, LINC00183, DCBALD06"	Xq13.2	AV714079	NR_024582	ENSG00000225470	554203
JRK	Jrk helix-turn-helix protein		"JH8, jerky"	8q24.3	AF072467	NM_003724	ENSG00000234616	8629
JRKL	JRK like		HHMJG	11q21	AF004715	NM_003772	ENSG00000183340	8690
JRKL-AS1	JRKL antisense RNA 1			11q21	"AL706355, BE972282"		ENSG00000255679	
JSRP1	junctional sarcoplasmic reticulum protein 1		"JP-45, FLJ32416"	19p13.3	AK056978	NM_144616	ENSG00000167476	126306
JTB	jumping translocation breakpoint		"hJT, PAR"	1q21.3	AB016488	NM_006694	ENSG00000143543	10899
JTBP1	jumping translocation breakpoint pseudogene 1			22q13.2			ENSG00000233603	
JUN	"Jun proto-oncogene, AP-1 transcription factor subunit"		"c-Jun, AP-1"	1p32.1	AY217548	NM_002228	ENSG00000177606	3725
JUNB	"JunB proto-oncogene, AP-1 transcription factor subunit"			19p13.13	M29039	NM_002229		3726
JUND	"JunD proto-oncogene, AP-1 transcription factor subunit"		AP-1	19p13.11		NM_005354	ENSG00000130522	3727
JUP	junction plakoglobin	CTNNG	"DP3, PDGB, PKGB, DPIII"	17q21.2	AF233882	NM_001352773	ENSG00000173801	3728
KAAG1	kidney associated antigen 1		"RU2, RU2AS"	6p22.3	AF181722		ENSG00000146049	353219
KALRN	kalirin RhoGEF kinase	HAPIP	"duo, Hs.8004, TRAD, DUET, Kalirin, ARHGEF24"	3q21.1-q21.2	U94190	NM_003947	ENSG00000160145	8997
KANK1	KN motif and ankyrin repeat domains 1	ANKRD15	"KIAA0172, KANK"	9p24.3	AL833161	NM_015158	ENSG00000107104	23189
KANK1P1	KN motif and ankyrin repeat domains 1 pseudogene 1			20p12.3			ENSG00000215589	100862705
KANK2	KN motif and ankyrin repeat domains 2	"MXRA3, ANKRD25"	KIAA1518	19p13.2	AK000011	NM_015493		25959
KANK3	KN motif and ankyrin repeat domains 3	ANKRD47	FLJ46061	19p13.2	AK128815	NM_198471		256949
KANK4	KN motif and ankyrin repeat domains 4	ANKRD38	KIAA0172	1p31.3	AK096259	NM_181712	ENSG00000132854	163782
KANSL1	KAT8 regulatory NSL complex subunit 1	KIAA1267	"DKFZP727C091, MSL1v1, CENP-36, NSL1"	17q21.31	BX538006	NM_015443	ENSG00000120071	284058
KANSL1-AS1	KANSL1 antisense RNA 1			17q21.31		NR_034172	ENSG00000214401	644246
KANSL1L	KAT8 regulatory NSL complex subunit 1 like	C2orf67	"FLJ23861, FLJ32349, MSL1v2, KIAA1267L"	2q34	AK074441	NM_152519	ENSG00000144445	151050
KANSL2	KAT8 regulatory NSL complex subunit 2	C12orf41	"FLJ20436, NSL2"	12q13.11	AK094528	NM_017822	ENSG00000139620	54934
KANSL3	KAT8 regulatory NSL complex subunit 3	KIAA1310	"FLJ10081, Rcd1, NSL3"	2q11.2	BC063792	NM_017991	ENSG00000114982	55683
KANTR	KDM5C adjacent transcript	LINC01155	Spasm	Xp11.22	"EF565109, CF994433"		ENSG00000232593	102723508
KARS	lysyl-tRNA synthetase	DFNB89	"KARS2, KARS1"	16q23.1	AF285758	NM_005548	ENSG00000065427	3735
KARSP1	lysyl-tRNA synthetase pseudogene 1			13q14.11			ENSG00000229696	100419558
KARSP2	lysyl-tRNA synthetase pseudogene 2			13q34			ENSG00000230371	100419560
KARSP3	lysyl-tRNA synthetase pseudogene 3			16q22.1			ENSG00000262962	100132079
KAT2A	lysine acetyltransferase 2A	GCN5L2	"GCN5, PCAF-b"	17q21.2	AF029777	NM_021078	ENSG00000108773	2648
KAT2B	lysine acetyltransferase 2B	PCAF	"P/CAF, GCN5, GCN5L"	3p24.3	U57316	NM_003884	ENSG00000114166	8850
KAT5	lysine acetyltransferase 5	HTATIP	"TIP60, PLIP, cPLA2, HTATIP1, ESA1, ZC2HC5"	11q13.1	U74667	NM_006388	ENSG00000172977	10524
KAT6A	lysine acetyltransferase 6A	"ZNF220, RUNXBP2, MYST3"	"MOZ, ZC2HC6A"	8p11.21	U47742	NM_006766	ENSG00000083168	7994
KAT6B	lysine acetyltransferase 6B	MYST4	"querkopf, qkf, Morf, MOZ2, ZC2HC6B"	10q22.2	AF113514	NM_012330	ENSG00000156650	23522
KAT7	lysine acetyltransferase 7	MYST2	"HBOA, HBO1, ZC2HC7"	17q21.33	AF074606	NM_007067	ENSG00000136504	11143
KAT8	lysine acetyltransferase 8	MYST1	"MOF, FLJ14040, hMOF, ZC2HC8"	16p11.2	AF217501	NM_032188	ENSG00000103510	84148
KAT14	lysine acetyltransferase 14	CSRP2BP	"CRP2BP, dJ717M23.1, PRO1194, ATAC2"	20p11.23	AF252257	NM_020536	ENSG00000149474	57325
KATNA1	katanin catalytic subunit A1			6q25.1	AF056022	NM_007044	ENSG00000186625	11104
KATNAL1	katanin catalytic subunit A1 like 1		MGC2599	13q12.3	AK097423	NM_032116	ENSG00000102781	84056
KATNAL2	katanin catalytic subunit A1 like 2		"MGC33211, DKFZP667C165"	18q21.1	BC034999	NM_031303	ENSG00000167216	83473
KATNB1	katanin regulatory subunit B1			16q21	AF052432		ENSG00000140854	10300
KATNBL1	katanin regulatory subunit B1 like 1	C15orf29	FLJ22557	15q14	AL136908	NM_024713	ENSG00000134152	79768
KATNBL1P1	katanin regulatory subunit B1 like 1 pseudogene 1			13q12.2			ENSG00000271026	100420919
KATNBL1P2	katanin regulatory subunit B1 like 1 pseudogene 2			1p21.3			ENSG00000232857	100130235
KATNBL1P3	katanin regulatory subunit B1 like 1 pseudogene 3			18p11.32			ENSG00000235422	100420946
KATNBL1P4	katanin regulatory subunit B1 like 1 pseudogene 4			5q11.2			ENSG00000249270	100128982
KATNBL1P5	katanin regulatory subunit B1 like 1 pseudogene 5			6p22.2			ENSG00000271108	100420841
KATNBL1P6	katanin regulatory subunit B1 like 1 pseudogene 6			6q24.3			ENSG00000228283	729176
KAZALD1	Kazal type serine peptidase inhibitor domain 1		"FKSG40, FKSG28"	10q24.31	AF333487	NM_030929	ENSG00000107821	81621
KAZN	"kazrin, periplakin interacting protein"		"KIAA1026, KAZRIN, FLJ43806"	1p36.21	AY505119	NM_001017999	ENSG00000189337	23254
KAZN-AS1	KAZN antisense RNA 1		ENST00000447908	1p36.21			ENSG00000234593	
KBTBD2	kelch repeat and BTB domain containing 2	BKLHD1	DKFZP566C134	7p14.3	AB040922	NM_015483	ENSG00000170852	25948
KBTBD3	kelch repeat and BTB domain containing 3	BKLHD3		11q22.3	AK055247	NM_152433		143879
KBTBD4	kelch repeat and BTB domain containing 4	BKLHD4	"FLJ10450, HSPC252"	11p11.2	AF151086	NM_016506	ENSG00000123444	55709
KBTBD6	kelch repeat and BTB domain containing 6		DKFZp547E1912	13q14.11	AK056633	NM_152903	ENSG00000165572	89890
KBTBD7	kelch repeat and BTB domain containing 7		DKFZP434E2318	13q14.11	AL136782	NM_032138	ENSG00000120696	84078
KBTBD8	kelch repeat and BTB domain containing 8		"TA-KRP, KIAA1842"	3p14.1	AF385438	NM_032505	ENSG00000163376	84541
KBTBD11	kelch repeat and BTB domain containing 11		"KIAA0711, KLHDC7C"	8p23.3	AB018254	NM_014867	ENSG00000176595	9920
KBTBD11-OT1	KBTBD11 overlapping transcript 1			8p23.3	BX104191		ENSG00000253696	
KBTBD12	kelch repeat and BTB domain containing 12	KLHDC6	FLJ46299	3q21.3		NM_207335	ENSG00000187715	166348
KBTBD13	kelch repeat and BTB domain containing 13		"hCG_1645727, NEM6"	15q22.31		NM_001101362	ENSG00000234438	390594
